연번,시,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도,데이터기준일자,weight
"1",경기도 성남시,수정구,신흥1동,수정신흥1-A-1,신흥1동 6497번지,수정남로84번길 24-1 (신흥동),"2009","5","37.439615 ","127.138008 ",2025-11-12,0.70
"2",경기도 성남시,수정구,신흥1동,수정신흥1-A-2,신흥1동 6598번지,탄리로16번길 3-8 (신흥동),"2009","4","37.438970 ","127.139560 ",2025-11-12,0.70
"3",경기도 성남시,수정구,신흥1동,수정신흥1-A-3,신흥1동 5095번지,시민로163번길 19 (신흥동),"2009","5","37.442144 ","127.141380 ",2025-11-12,0.70
"4",경기도 성남시,수정구,신흥1동,수정신흥1-A-4,신흥1동 4326번지,산성대로225번길 16 (신흥동),"2009","5","37.439805 ","127.141888 ",2025-11-12,0.70
"5",경기도 성남시,수정구,신흥1동,수정신흥1-A-5,신흥1동 4900번지,탄리로52번길 32 (신흥동),"2009","4","37.440745 ","127.140138 ",2025-11-12,0.70
"6",경기도 성남시,수정구,신흥1동,수정신흥1-A-6,신흥1동 4669번지,시민로145번길 16-14 (신흥동),"2009","5","37.441122 ","127.142066 ",2025-11-12,0.70
"7",경기도 성남시,수정구,신흥1동,수정신흥1-A-7,신흥1동 4224번지,산성대로 241 (신흥동),"2009","5","37.440008 ","127.143811 ",2025-11-12,0.70
"8",경기도 성남시,수정구,신흥1동,수정신흥1-A-8,신흥1동 5544-1번지,수정로154번길 8 (신흥동),"2009","5","37.441737 ","127.137535 ",2025-11-12,0.70
"9",경기도 성남시,수정구,신흥1동,수정신흥1-A-9,신흥1동 6077번지,탄리로52번길 12 (신흥동),"2012","5","37.440932 ","127.137909 ",2025-11-12,0.70
"10",경기도 성남시,수정구,신흥1동,수정신흥1-A-10,신흥1동 5514번지,수정로180번길 3 (신흥동),"2013","5","37.442849 ","127.140006 ",2025-11-12,0.70
"11",경기도 성남시,수정구,신흥1동,수정신흥1-A-11,신흥1동 6926번지,산성대로215번길 7 (신흥동),"2013","5","37.438513 ","127.140835 ",2025-11-12,0.70
"12",경기도 성남시,수정구,신흥1동,수정신흥1-A-12,신흥1동 6284번지,탄리로30번길 15-1 (신흥동),"2013","5","37.439546 ","127.139669 ",2025-11-12,0.70
"13",경기도 성남시,수정구,신흥1동,수정신흥1-A-13,신흥1동 4579번지,수정남로132번길 25 (신흥동),"2013","5","37.440843 ","127.142982 ",2025-11-12,0.70
"14",경기도 성남시,수정구,신흥1동,수정신흥1-A-14,신흥1동 5319-3번지,시민로163번길 26 (신흥동),"2014","5","37.442062 ","127.140387 ",2025-11-12,0.70
"15",경기도 성남시,수정구,신흥1동,수정신흥1-A-15,신흥1동 5534-1번지,수정로162번길 6 (신흥동),"2015","5","37.442310 ","127.138210 ",2025-11-12,0.70
"16",경기도 성남시,수정구,신흥1동,수정신흥1-A-16,신흥1동 5481번지,수정로188번길 7 (신흥동),"2016","5","37.442840 ","127.141120 ",2025-11-12,0.70
"17",경기도 성남시,수정구,신흥1동,수정신흥1-A-17,신흥1동 6593번지,탄리로 16 (신흥동),"2016","5","37.438860 ","127.139570 ",2025-11-12,0.70
