순번,분전함,세부주소,Latitude,Longitude,등주수량,등수,데이터기준일자,weight
1,고등공원로1,경기도 성남시 수정구 고등동 589-2 / 이마트24부근사거리,37.4279544,127.0989973,29,53,2025-08-05,0.4
2,고등로1,경기도 성남시 수정구 고등동 588 / 고등제일교회,37.4300414,127.1003513,25,42,2025-08-05,0.4
3,고등로2,경기도 성남시 수정구 고등동 578 / 고등제일교회,37.4300414,127.1003513,14,14,2025-08-05,0.4
4,고등로3,경기도 성남시 수정구 고등동 576 / 자이301동 터널지나,37.4305782,127.0955364,29,46,2025-08-05,0.4
5,고등로3길1,경기도 성남시 수정구 고등동 575-6 / 자이308동부근,37.4301999,127.0938409,20,20,2025-08-05,0.4
6,공원로1,경기도 성남시 수정구 신흥2동 2464-1 / 청구아파트앞,37.443485,127.150879,34,34,2025-08-05,0.4
7,공원로2,경기도 성남시 수정구 신흥3동 2827 / 노상주차장,37.4410977,127.1511188,13,26,2025-08-05,0.4
8,공원로3,경기도 성남시 수정구 신흥동 1748 / 성남초교사거리,37.445425,127.1468814,61,63,2025-08-05,0.4
9,공원로352번길1,경기도 성남시 수정구 신흥2동 2463 / 희망대공원앞,37.4477239,127.1501986,34,34,2025-08-05,0.4
10,공원로370번길1,경기도 성남시 수정구 신흥2동 2024 / 희망대삼거리(카센터앞),37.4472469,127.1516226,6,17,2025-08-05,0.4
11,공원로4,경기도 성남시 수정구 태평동 1 / 공영주차장앞,37.435789,127.165916,40,40,2025-08-05,0.4
12,공원로5,경기도 성남시 수정구 신흥동 116 / 신흥성당입구,37.440956,127.147509,44,44,2025-08-05,0.4
13,공원로6,경기도 성남시 수정구 태평동 1992-1 / 성남여중맞은편,37.4500708,127.1417166,16,16,2025-08-05,0.4
14,공원로7,경기도 성남시 수정구 복정동 산76 / 자광원앞,37.4592407,127.1391627,26,26,2025-08-05,0.4
15,공원로8,경기도 성남시 수정구 복정동 산76 / 자광원앞,37.4592407,127.1391627,24,24,2025-08-05,0.4
16,금토로1,경기도 성남시 수정구 금토동 406-1 /,37.40516,127.088096,13,22,2025-08-05,0.4
17,금토로2,경기도 성남시 수정구 금토동 410-61 /,37.4066425,127.0918636,11,14,2025-08-05,0.4
18,금토로3,경기도 성남시 수정구 시흥동 293-48 /,37.4089262,127.0943911,11,14,2025-08-05,0.4
19,금토로4,경기도 성남시 수정구 시흥동 산51-2 /,37.4117519,127.0933787,18,29,2025-08-05,0.4
20,금토로1,경기도 성남시 수정구 금토동 406-1 /,37.40516,127.088096,13,22,2025-08-05,0.4
21,금토로2,경기도 성남시 수정구 금토동 410-415 /,37.4076659,127.0906803,11,14,2025-08-05,0.4
22,금토로3,경기도 성남시 수정구 금토동 410-414 /,37.4076659,127.0906803,11,14,2025-08-05,0.4
23,금토로4,경기도 성남시 수정구 금토동 405-11 /,37.4062876,127.0880121,18,29,2025-08-05,0.4
24,금토로80번길1,경기도 성남시 수정구 금토동 315-10 /,37.4073694,127.0887966,31,43,2025-08-05,0.4
25,금토로80번길2,경기도 성남시 수정구 금토동 315-1 /,37.4071777,127.0890232,32,45,2025-08-05,0.4
26,금토로80번길3,경기도 성남시 수정구 금토동 427-21 /,37.405384,127.0857252,22,27,2025-08-05,0.4
27,남한산성로1,경기도 성남시 수정구 단대동 산101 / 웃논골 버스정류장,37.4534098,127.1280829,53,28,2025-08-05,0.4
28,남한산성로2,경기도 성남시 중원구 은행2동 14-2 / 구매표소앞계단,37.4607411,127.1707935,63,65,2025-08-05,0.4
29,논골로1,경기도 성남시 수정구 양지동 743 / 헤어 화,37.4397119,127.127113,33,33,2025-08-05,0.4
30,논골로2,경기도 성남시 수정구 단대동 6985-14 / 5M보안등(논골),37.4620839,127.1567419,6,6,2025-08-05,0.4
31,단대로1,경기도 성남시 수정구 산성동 510-3 / 단대공원산성공영주차장앞,37.4543017,127.1544555,9,11,2025-08-05,0.4
32,달래내로1,경기도 성남시 수정구 금토동 270-5 / 남산마을금토제4경로회관앞,37.4089184,127.0960001,26,26,2025-08-05,0.4
33,달래내로2,경기도 성남시 수정구 시흥동 293-45 /,37.4088038,127.0945412,12,22,2025-08-05,0.4
34,달래내로3,경기도 성남시 수정구 상적동 216-13 / 고속도로굴다리터널등(옛골굴다리),37.4293479,127.0714469,20,20,2025-08-05,0.4
35,달래내로4,경기도 성남시 수정구 상적동 240-1(한전240-4) / 달래내고개,37.4234152,127.0766306,27,31,2025-08-05,0.4
36,달래내로5,경기도 성남시 수정구 금토동 410-46 /,37.4084053,127.0929733,14,23,2025-08-05,0.4
37,달래내로6,경기도 성남시 수정구 금토동 293 / 금토제4경로회관(남산마을맞은편),37.0600821,126.9803692,23,23,2025-08-05,0.4
38,대왕판교로1,경기도 성남시 수정구 시흥동 281-20 / 금토삼거리 버스정류장,37.410858,127.0996668,18,22,2025-08-05,0.4
39,대왕판교로10,경기도 성남시 수정구 신촌동 124-3 / 신촌동버스정류장(상),37.4600057,127.1077924,19,19,2025-08-05,0.4
40,대왕판교로11,경기도 성남시 수정구 신촌동 119-2 / 신촌동 쉼터앞,37.4607515,127.1077642,19,19,2025-08-05,0.4
41,대왕판교로12,경기도 성남시 수정구 오야동 226-3 / 신촌동사무소입구(오야동),37.4546619,127.104377,28,28,2025-08-05,0.4
42,대왕판교로13,경기도 성남시 수정구 심곡동 220-12 / 서울공항정문맞은편(추어탕),37.4485237,127.1049605,27,27,2025-08-05,0.4
43,대왕판교로14,경기도 성남시 수정구 심곡동 (한전473-2) / 심곡저수지앞,37.4424137,127.1032866,33,33,2025-08-05,0.4
44,대왕판교로15,경기도 성남시 수정구 고등동 272-1 / 등자리입구(하)버스정류장쉘타뒤,37.4301857,127.0881739,33,33,2025-08-05,0.4
45,대왕판교로16,경기도 성남시 수정구 고등동 583 / 고등동사거리(하)버스정류장,37.4278318,127.1019058,16,16,2025-08-05,0.4
46,대왕판교로17,경기도 성남시 수정구 고등동 608-3 / 고등동분당방향 시흥사거리전,37.4253536,127.1018559,19,20,2025-08-05,0.4
47,대왕판교로18,경기도 성남시 수정구 시흥동 223 / 푸주옥앞,37.4202634,127.1018585,21,21,2025-08-05,0.4
48,대왕판교로19,경기도 성남시 수정구 시흥동 298 / 서울기록관 하행버스정류장,37.4175699,127.0954578,21,27,2025-08-05,0.4
49,대왕판교로2,경기도 성남시 수정구 시흥동 247-3 / 서울기록관 상행 버스정류장,37.4175699,127.0954578,23,23,2025-08-05,0.4
50,대왕판교로20,경기도 성남시 수정구 금토동 273-51 / 금토삼거리,37.4089184,127.0960001,25,26,2025-08-05,0.4
51,대왕판교로3,경기도 성남시 수정구 시흥동 220-4 / 시흥동 체육공원앞,37.4200062,127.1028095,20,21,2025-08-05,0.4
52,대왕판교로4,경기도 성남시 수정구 고등동 166-8 / 고등동주민센터 버스정류장,37.424685,127.102249,19,20,2025-08-05,0.4
53,대왕판교로5,경기도 성남시 수정구 고등동 411-2 / 고등동사거리(상)버스정류장,37.4278318,127.1019058,17,17,2025-08-05,0.4
54,대왕판교로6,경기도 성남시 수정구 고등동 1-15 / 등자리입구(상)버스정류장,37.4350674,127.1037818,35,35,2025-08-05,0.4
55,대왕판교로7,경기도 성남시 수정구 심곡동 202-16 / 심곡저수지맞은편,37.4422664,127.1036779,35,35,2025-08-05,0.4
56,대왕판교로8,경기도 성남시 수정구 심곡동 253-3 / 서울공항정문(상),37.4485237,127.1049605,28,30,2025-08-05,0.4
57,대왕판교로816번길1,경기도 성남시 수정구 시흥동 278-5 / 배수지입구,37.4114934,127.1021499,23,33,2025-08-05,0.4
58,대왕판교로851번길1,경기도 성남시 수정구 시흥동 234-10 / 세종연구소입구(서울기록관),37.4175699,127.0954578,22,35,2025-08-05,0.4
59,대왕판교로879번길1,경기도 성남시 수정구 시흥동 225-25 / 베스트하우스경비실앞,37.418966,127.1013093,10,10,2025-08-05,0.4
60,대왕판교로9,경기도 성남시 수정구 오야동 227-1 / 오야동버스정류장(상),37.4554825,127.1069808,28,28,2025-08-05,0.4
61,대왕판교로915번길1,경기도 성남시 수정구 시흥동 211-37 / 동산마을,37.4221072,127.0998055,21,21,2025-08-05,0.4
62,대왕판교로982번길1,경기도 성남시 수정구 고등동 391-13 / 고등취락지구982번길,37.4289295,127.1040794,10,7,2025-08-05,0.4
63,동판교로1,경기도 성남시 수정구 사송동 331 / 사송교차로(모란방향),37.4116117,127.114044,30,30,2025-08-05,0.4
64,동판교로2,경기도 성남시 수정구 사송동 484-7 / 사송교차로(판교방향),37.4116117,127.114044,35,62,2025-08-05,0.4
65,복정로1,경기도 성남시 수정구 복정동 690-7 / 복정로 제일부동산앞,37.4599522,127.1270589,23,23,2025-08-05,0.4
66,복정로118번길1,경기도 성남시 수정구 복정동 650-9 / 복정도서관,37.4637524,127.1278405,68,69,2025-08-05,0.4
67,복정로2,경기도 성남시 수정구 복정동 682 / 동서울대앞,37.4600972,127.1270149,16,16,2025-08-05,0.4
68,복정로3,경기도 성남시 수정구 복정동 664-16 / 미래공인중개사,37.46211,127.1270729,33,34,2025-08-05,0.4
69,복정로4,경기도 성남시 수정구 복정동 711-4 / 복정로(뚜레쥬르앞),37.4599522,127.1270589,20,20,2025-08-05,0.4
70,복정로72번길1,경기도 성남시 수정구 복정동 692-8맞은편 / 맑은물관리사업소입구,37.4565972,127.1286339,55,55,2025-08-05,0.4
71,복정로84번길1,경기도 성남시 수정구 복정동 608-7맞은편 / 동서울대본관담장,37.4517766,127.1273754,39,39,2025-08-05,0.4
